client_id,start_counts,step_1_counts,step_2_counts,step_3_counts,confirm_counts,visit_count,variation,error_count,backward_steps_count
16135,1,1,0,0,0,5,Control,0.0,7
16202,2,1,0,0,0,1,Control,0.0,0
16295,3,3,1,1,1,1,Test,0.0,18
16549,1,0,0,0,0,4,Control,0.0,7
16549,2,1,0,0,0,4,Control,0.0,7
16549,1,1,2,2,1,4,Control,0.0,7
16549,0,0,0,0,1,4,Control,0.0,7
16679,1,1,1,0,0,3,Control,0.0,0
16679,4,0,0,0,0,3,Control,0.0,0
16679,1,0,0,0,0,3,Control,0.0,0
16744,2,0,0,0,0,1,Control,0.0,0
16747,1,1,1,1,1,1,Control,0.0,0
16881,1,0,0,0,0,1,Test,0.0,0
17008,1,1,1,1,1,1,Control,0.0,0
17036,1,1,1,1,1,1,Control,0.0,0
17160,1,1,1,1,1,4,Control,0.0,0
17160,1,1,0,0,0,4,Control,0.0,0
17160,1,1,0,0,0,4,Control,0.0,0
17160,1,0,0,0,0,4,Control,0.0,0
17170,1,1,1,1,1,1,Test,0.0,0
17318,2,1,1,1,0,1,Test,0.0,5
17404,1,1,1,1,1,1,Test,0.0,0
18549,1,1,1,1,1,2,Test,0.0,0
18549,0,0,0,0,2,2,Test,0.0,0
18660,2,2,0,0,0,1,Control,0.0,4
18973,2,1,1,1,1,1,Control,0.0,0
19060,2,1,1,1,0,1,Test,0.0,5
19613,1,0,0,0,0,1,Control,0.0,0
19782,1,1,1,1,1,1,Control,0.0,0
19813,2,1,1,1,1,1,Control,1.0,0
19832,1,1,1,1,1,1,Control,0.0,0
20091,3,2,1,1,1,1,Control,0.0,8
20185,4,7,6,1,1,2,Test,0.0,109
20185,2,3,4,2,0,2,Test,0.0,109
20537,1,1,1,1,1,1,Control,0.0,0
20564,1,1,3,4,1,1,Test,0.0,20
20643,1,1,1,1,1,1,Test,0.0,0
20668,2,1,0,0,0,1,Test,1.0,0
20898,1,0,0,0,0,1,Control,0.0,0
21200,2,1,1,1,0,1,Test,0.0,5
21242,1,1,1,1,1,1,Control,0.0,0
21281,1,1,0,0,0,2,Test,0.0,7
21281,1,2,2,1,1,2,Test,0.0,7
21353,1,1,3,3,1,1,Control,0.0,18
21403,3,0,0,0,0,3,Test,0.0,0
21403,1,0,0,0,0,3,Test,0.0,0
21403,1,0,0,0,0,3,Test,0.0,0
21498,1,1,1,1,0,2,Control,0.0,0
21498,4,1,1,1,1,2,Control,0.0,0
21522,7,2,2,2,0,2,Test,1.0,55
21522,2,1,0,0,0,2,Test,1.0,55
21596,2,2,1,1,1,1,Test,0.0,7
21719,1,1,1,1,0,1,Control,0.0,0
21940,2,1,1,1,1,3,Control,0.0,0
21940,2,0,0,0,0,3,Control,0.0,0
21940,1,1,1,0,0,3,Control,0.0,0
21970,1,1,1,2,1,2,Control,0.0,12
21970,1,1,1,0,0,2,Control,0.0,12
22007,1,1,1,1,2,1,Test,0.0,0
22793,1,1,1,0,0,1,Test,0.0,0
22885,1,2,3,2,0,3,Control,0.0,34
22885,3,4,2,0,0,3,Control,0.0,34
22885,1,1,1,3,0,3,Control,0.0,34
23276,1,1,1,3,1,1,Control,1.0,7
23864,1,1,1,1,1,1,Control,0.0,0
23914,1,1,1,1,1,1,Test,0.0,0
24079,3,0,0,0,0,1,Control,0.0,0
24443,2,4,3,3,1,2,Test,1.0,55
24443,4,2,2,0,0,2,Test,1.0,55
24572,2,2,1,1,1,1,Test,0.0,7
24703,1,1,0,0,0,2,Test,0.0,0
24703,0,0,1,1,1,2,Test,0.0,0
24710,1,1,1,1,1,1,Control,0.0,0
24841,0,0,0,0,1,6,Test,0.0,0
24841,1,1,0,0,0,6,Test,0.0,0
24841,0,0,0,0,1,6,Test,0.0,0
24841,0,0,0,0,1,6,Test,0.0,0
24841,1,1,1,1,1,6,Test,0.0,0
24841,0,0,0,0,2,6,Test,0.0,0
25022,1,1,1,1,1,1,Test,0.0,0
25026,1,1,1,1,2,1,Test,0.0,0
25043,1,1,1,1,1,1,Control,0.0,0
25766,1,1,2,2,1,1,Control,0.0,7
26036,1,1,1,1,1,1,Test,0.0,0
26070,1,1,1,1,1,1,Test,0.0,0
26105,2,1,1,1,1,1,Test,0.0,0
26211,1,1,1,1,1,1,Control,0.0,0
26286,1,1,0,0,0,1,Control,0.0,0
26696,3,0,0,0,0,1,Test,0.0,0
27021,2,2,2,2,1,1,Control,0.0,9
27075,1,1,1,1,1,1,Test,0.0,0
27241,2,3,2,1,1,2,Control,0.0,18
27241,1,0,0,0,0,2,Control,0.0,18
27554,1,1,1,1,1,1,Control,0.0,0
27764,0,0,0,0,2,2,Test,0.0,7
27764,2,2,1,1,1,2,Test,0.0,7
27907,1,1,1,1,1,1,Test,0.0,0
27988,3,0,0,0,0,4,Control,0.0,0
27988,1,1,1,0,0,4,Control,0.0,0
27988,3,0,0,0,0,4,Control,0.0,0
27988,1,1,1,1,1,4,Control,0.0,0
28241,1,1,1,1,2,1,Test,0.0,0
28371,1,1,1,1,1,2,Test,0.0,0
28371,1,1,1,0,0,2,Test,0.0,0
28542,1,1,1,1,1,1,Control,0.0,0
28705,2,2,1,0,0,2,Control,0.0,5
28705,1,1,1,1,1,2,Control,0.0,5
28845,1,1,1,1,1,1,Control,0.0,0
28857,3,4,3,2,0,2,Control,0.0,36
28857,1,1,1,1,1,2,Control,0.0,36
29227,3,1,1,1,2,1,Test,0.0,0
29527,1,1,2,1,1,1,Test,0.0,0
29595,0,0,0,0,2,2,Control,0.0,0
29595,1,1,1,1,1,2,Control,0.0,0
30318,1,1,1,1,0,3,Test,0.0,4
30318,3,1,0,0,0,3,Test,0.0,4
30318,1,1,1,1,1,3,Test,0.0,4
30462,1,0,0,0,0,1,Test,0.0,0
30493,2,3,1,1,1,1,Test,0.0,8
31191,2,0,0,0,0,1,Control,0.0,0
31264,2,0,0,0,0,2,Control,1.0,14
31264,1,2,2,1,1,2,Control,1.0,14
31336,1,1,1,1,1,3,Test,1.0,30
31336,1,5,3,1,0,3,Test,1.0,30
31336,0,0,0,0,1,3,Test,1.0,30
31404,1,1,1,1,1,1,Test,0.0,0
31499,3,2,2,1,1,1,Test,0.0,9
31502,2,2,2,2,1,1,Control,0.0,9
31597,2,0,0,0,0,4,Test,0.0,10
31597,4,1,0,0,0,4,Test,0.0,10
31597,8,8,8,8,8,4,Test,0.0,10
31597,2,1,1,1,0,4,Test,0.0,10
31715,1,1,1,1,1,1,Control,0.0,0
31766,2,2,1,0,0,2,Test,0.0,5
31766,1,1,0,0,0,2,Test,0.0,5
32197,1,1,1,1,1,1,Control,0.0,0
32305,1,1,0,0,0,1,Control,0.0,0
32471,3,2,2,2,0,1,Test,0.0,36
32521,1,1,1,1,1,1,Test,0.0,0
32746,4,3,1,1,1,1,Test,0.0,20
32859,1,1,1,1,0,1,Control,0.0,0
33190,1,1,1,1,1,1,Control,0.0,0
33265,0,0,0,0,1,2,Test,0.0,0
33265,1,1,1,1,1,2,Test,0.0,0
33463,2,3,3,3,1,1,Control,0.0,36
33472,0,0,0,0,4,2,Test,0.0,0
33472,1,1,1,1,1,2,Test,0.0,0
33752,1,1,1,1,1,1,Test,0.0,0
34067,2,2,1,1,1,1,Control,0.0,7
34101,4,0,0,0,0,1,Test,0.0,0
34267,1,1,1,1,1,1,Control,0.0,0
34501,3,2,2,0,0,2,Control,1.0,21
34501,1,0,0,0,0,2,Control,1.0,21
34603,1,1,1,1,1,1,Control,0.0,0
34608,1,1,0,0,0,1,Test,0.0,0
34631,3,2,1,1,0,1,Control,0.0,14
35010,2,2,1,0,0,1,Test,1.0,10
35087,1,2,2,0,0,1,Control,0.0,5
35091,2,1,0,0,0,1,Test,0.0,3
35138,1,1,1,1,1,2,Test,0.0,0
35138,0,0,0,0,2,2,Test,0.0,0
35181,2,1,0,0,0,2,Test,0.0,0
35181,1,1,1,1,1,2,Test,0.0,0
35257,1,1,1,1,1,1,Control,0.0,0
35346,1,1,1,1,1,1,Control,0.0,0
35417,1,1,1,1,1,1,Control,0.0,0
35476,2,2,0,0,0,2,Test,0.0,4
35476,3,1,1,1,1,2,Test,0.0,4
35922,2,1,1,1,1,1,Test,0.0,0
36109,1,1,1,1,3,2,Control,0.0,0
36109,1,1,0,0,0,2,Control,0.0,0
36342,1,1,1,1,1,1,Test,0.0,0
36363,1,1,1,1,1,1,Test,0.0,0
36430,1,1,2,3,3,1,Test,0.0,10
36432,2,2,1,0,0,1,Test,0.0,10
36555,5,3,1,1,0,1,Test,0.0,10
36986,3,4,2,2,1,3,Test,0.0,36
36986,2,0,0,0,0,3,Test,0.0,36
36986,1,1,0,0,0,3,Test,0.0,36
37064,1,1,3,3,1,1,Control,0.0,18
37295,2,1,2,2,1,1,Control,0.0,8
37408,1,1,1,1,1,1,Control,0.0,0
37423,2,2,0,0,0,4,Test,0.0,14
37423,2,1,0,0,0,4,Test,0.0,14
37423,2,2,1,1,1,4,Test,0.0,14
37423,1,0,0,0,0,4,Test,0.0,14
37667,1,1,1,1,1,1,Test,0.0,0
37691,3,1,0,0,0,1,Test,0.0,4
37705,1,1,1,1,1,1,Test,0.0,0
37897,1,1,1,1,1,1,Test,0.0,0
38275,1,0,0,0,0,2,Test,0.0,0
38275,2,0,0,0,0,2,Test,0.0,0
38283,3,2,1,1,1,1,Test,0.0,8
38340,1,1,1,1,1,2,Test,0.0,0
38340,0,0,0,0,1,2,Test,0.0,0
38551,1,0,0,0,0,2,Test,0.0,0
38551,1,1,1,1,1,2,Test,0.0,0
38685,1,1,1,1,1,2,Control,0.0,0
38685,0,0,0,0,1,2,Control,0.0,0
38714,1,1,1,1,1,1,Control,0.0,0
38775,2,0,0,0,0,1,Test,0.0,0
38930,1,2,2,2,1,1,Control,0.0,8
38963,1,1,1,1,1,1,Control,0.0,0
39004,1,0,0,0,0,1,Test,0.0,0
39075,1,1,1,1,1,1,Control,0.0,0
39566,1,1,1,1,1,1,Test,0.0,0
39968,2,0,0,0,0,1,Control,0.0,0
40283,9,0,0,0,0,2,Test,0.0,0
40283,1,0,0,0,0,2,Test,0.0,0
40439,1,1,1,1,1,1,Test,0.0,0
40969,4,1,0,0,0,1,Test,0.0,5
41122,1,1,1,1,1,1,Test,0.0,0
41142,0,0,0,0,1,3,Test,0.0,0
41142,6,1,0,0,0,3,Test,0.0,0
41142,1,1,1,1,2,3,Test,0.0,0
41199,1,1,1,1,1,1,Test,0.0,0
41237,1,1,1,1,2,1,Test,0.0,0
41516,1,1,1,1,1,1,Control,0.0,0
41652,1,1,0,0,0,1,Control,0.0,0
41924,2,0,0,0,0,3,Test,0.0,4
41924,1,0,0,0,0,3,Test,0.0,4
41924,2,1,1,0,0,3,Test,0.0,4
42082,2,1,1,1,1,1,Control,1.0,0
42296,2,0,0,0,0,2,Control,0.0,0
42296,2,1,0,0,0,2,Control,0.0,0
42349,1,1,1,1,1,1,Test,0.0,0
42725,1,1,1,1,1,1,Test,0.0,0
43494,2,0,0,0,0,2,Control,1.0,0
43494,2,1,1,0,0,2,Control,1.0,0
43645,0,0,0,0,2,2,Test,0.0,0
43645,1,1,1,1,0,2,Test,0.0,0
43766,1,1,0,0,0,1,Control,0.0,0
44060,2,3,2,1,1,1,Control,0.0,18
44216,3,1,1,1,1,1,Control,0.0,0
44705,3,2,1,1,1,1,Test,0.0,8
44860,1,1,1,1,1,1,Control,0.0,0
44932,1,1,1,1,1,1,Test,0.0,0
44995,1,1,0,0,0,1,Test,0.0,0
45131,3,1,1,1,2,2,Test,0.0,0
45131,1,1,1,1,0,2,Test,0.0,0
45232,2,1,1,1,1,3,Test,0.0,0
45232,3,0,0,0,0,3,Test,0.0,0
45232,2,0,0,0,0,3,Test,0.0,0
45485,1,1,2,3,1,1,Test,0.0,8
45510,2,1,1,1,0,2,Test,0.0,5
45510,1,1,1,1,1,2,Test,0.0,5
46223,1,1,1,1,0,1,Control,0.0,0
46790,2,1,1,0,0,1,Test,0.0,4
46934,4,0,0,0,0,1,Test,0.0,0
47402,2,1,1,0,0,2,Control,0.0,4
47402,1,0,0,0,0,2,Control,0.0,4
47571,1,1,1,1,1,1,Control,0.0,0
47860,2,1,1,2,0,1,Test,0.0,6
47933,1,1,1,1,1,2,Control,0.0,0
47933,2,1,0,0,0,2,Control,0.0,0
48241,1,1,0,0,0,2,Control,0.0,96
48241,7,6,3,0,0,2,Control,0.0,96
48424,1,1,1,0,0,3,Control,0.0,4
48424,1,1,1,3,0,3,Control,0.0,4
48424,2,2,0,0,0,3,Control,0.0,4
48431,1,1,1,1,1,1,Control,0.0,0
48448,0,0,0,0,1,2,Test,0.0,0
48448,2,1,1,1,1,2,Test,0.0,0
48724,3,1,1,1,1,2,Test,0.0,5
48724,2,1,1,1,0,2,Test,0.0,5
49412,1,1,3,3,1,1,Control,0.0,18
49450,2,2,2,2,1,1,Control,0.0,9
49709,1,1,4,4,1,1,Test,0.0,33
49998,1,1,0,0,0,1,Test,0.0,0
50053,1,1,1,1,1,1,Test,0.0,0
50090,1,1,1,1,1,1,Test,0.0,0
50185,1,1,1,1,1,1,Control,0.0,0
50271,1,1,1,1,1,1,Control,0.0,0
50325,1,1,1,1,1,1,Test,0.0,0
50599,2,0,0,0,0,1,Test,0.0,0
50643,2,0,0,0,0,2,Control,0.0,0
50643,1,1,2,1,2,2,Control,0.0,0
50692,1,0,0,0,0,1,Control,0.0,0
51493,1,1,1,1,1,1,Test,0.0,0
51526,3,2,1,2,1,1,Test,0.0,9
51706,1,1,1,1,1,1,Control,0.0,0
51814,1,1,1,1,1,1,Control,0.0,0
51902,1,1,1,1,1,1,Control,0.0,0
52111,2,1,1,1,1,4,Control,0.0,0
52111,1,1,1,2,0,4,Control,0.0,0
52111,2,1,0,0,0,4,Control,0.0,0
52111,1,1,0,0,0,4,Control,0.0,0
52309,2,3,2,0,0,1,Test,0.0,21
52384,2,0,0,0,0,1,Control,0.0,0
52456,1,1,0,0,0,2,Control,0.0,8
52456,1,1,2,3,1,2,Control,0.0,8
52461,1,1,1,1,1,1,Control,0.0,0
52743,3,3,3,2,1,1,Test,0.0,36
52765,1,1,1,1,1,1,Control,0.0,0
53094,1,1,1,1,1,1,Control,0.0,0
53123,1,1,1,1,1,1,Control,0.0,0
53126,1,1,1,1,1,1,Control,0.0,0
53169,1,0,0,0,0,2,Control,0.0,0
53169,1,0,0,0,0,2,Control,0.0,0
53396,1,1,1,1,2,1,Test,0.0,0
53990,1,1,1,1,0,1,Control,0.0,0
54231,1,1,1,1,1,1,Test,0.0,0
54291,1,1,1,1,1,1,Control,0.0,0
54363,1,1,1,1,1,1,Control,0.0,0
54477,1,0,0,0,0,1,Control,0.0,0
54893,1,1,1,1,1,1,Test,0.0,0
55059,1,1,1,1,1,1,Test,0.0,0
55265,1,2,2,2,1,1,Test,0.0,8
55333,1,1,1,1,2,1,Test,0.0,0
55448,1,0,0,0,0,3,Control,0.0,0
55448,1,1,1,1,1,3,Control,0.0,0
55448,1,1,0,0,0,3,Control,0.0,0
55951,3,0,0,0,0,1,Test,0.0,0
56294,2,2,1,1,1,1,Test,0.0,7
56529,4,1,1,1,1,1,Control,0.0,0
56570,3,2,1,1,0,1,Test,0.0,14
56782,3,1,1,0,0,1,Control,0.0,5
56923,0,0,0,0,1,2,Test,0.0,7
56923,1,1,2,2,1,2,Test,0.0,7
58001,1,1,0,0,0,2,Control,0.0,0
58001,1,2,1,1,1,2,Control,0.0,0
58194,1,3,2,2,1,1,Test,0.0,9
58196,1,0,0,0,0,5,Control,1.0,0
58196,4,0,0,0,0,5,Control,1.0,0
58196,1,1,0,0,0,5,Control,1.0,0
58196,2,1,1,1,1,5,Control,1.0,0
58196,1,1,1,1,0,5,Control,1.0,0
58456,2,1,0,0,0,2,Control,1.0,12
58456,4,2,1,1,4,2,Control,1.0,12
58589,1,1,1,1,0,3,Control,0.0,8
58589,2,2,2,2,0,3,Control,0.0,8
58589,0,0,0,0,1,3,Control,0.0,8
58676,1,1,1,1,1,1,Control,0.0,0
58867,1,1,1,1,1,1,Test,0.0,0
58917,2,3,1,1,1,1,Control,0.0,8
58962,1,3,1,1,1,1,Test,0.0,0
59089,2,1,1,1,1,1,Control,0.0,0
59152,1,1,1,1,1,1,Test,0.0,0
59360,1,1,1,1,1,1,Test,0.0,0
59605,1,1,0,0,0,1,Control,0.0,0
59782,2,2,1,1,1,1,Control,0.0,7
59802,1,2,2,2,1,1,Test,0.0,8
59860,4,4,1,1,1,1,Control,0.0,33
60101,1,1,1,1,1,1,Test,0.0,0
60483,1,1,1,1,1,1,Test,0.0,0
60802,1,1,0,0,0,2,Test,0.0,14
60802,3,2,1,1,0,2,Test,0.0,14
60958,2,0,0,0,0,1,Test,0.0,0
61007,4,0,0,0,0,1,Test,0.0,0
61487,1,1,1,1,1,1,Test,0.0,0
61650,3,1,1,1,1,1,Test,1.0,0
61961,1,2,2,1,1,1,Test,0.0,7
62058,1,0,0,0,0,1,Control,0.0,0
62284,1,1,2,1,1,1,Test,0.0,0
62498,1,0,0,0,0,1,Control,0.0,0
62503,1,1,1,1,0,2,Control,0.0,0
62503,2,0,0,0,0,2,Control,0.0,0
62754,1,1,1,1,1,1,Test,0.0,0
62791,0,0,0,0,1,3,Test,0.0,0
62791,1,1,1,1,1,3,Test,0.0,0
62791,0,0,0,0,2,3,Test,0.0,0
62805,1,1,1,1,1,1,Test,0.0,0
62837,1,1,0,0,0,1,Control,0.0,0
63001,1,1,1,0,0,1,Control,0.0,0
63377,1,1,1,1,1,1,Control,0.0,0
63507,1,1,1,1,1,1,Test,0.0,0
63796,2,4,1,1,1,2,Test,0.0,18
63796,0,0,0,0,1,2,Test,0.0,18
63879,0,0,0,0,2,3,Test,0.0,8
63879,3,1,1,2,1,3,Test,0.0,8
63879,0,0,0,0,1,3,Test,0.0,8
63955,1,1,1,1,1,1,Test,0.0,0
64020,1,2,2,1,1,1,Control,0.0,7
64058,1,1,1,1,1,1,Test,0.0,0
64635,0,0,0,0,1,2,Test,0.0,0
64635,0,0,0,0,1,2,Test,0.0,0
64871,1,1,1,1,3,1,Control,0.0,0
64885,1,1,0,0,0,1,Test,0.0,0
64964,1,1,0,0,0,2,Control,0.0,0
64964,1,1,1,1,1,2,Control,0.0,0
65221,1,1,1,1,1,1,Test,0.0,0
65716,2,1,3,3,1,1,Control,0.0,20
65845,1,1,1,1,1,1,Control,0.0,0
66160,1,1,1,1,2,2,Test,0.0,0
66160,0,0,0,0,1,2,Test,0.0,0
66169,1,1,1,1,0,2,Control,0.0,0
66169,1,1,1,1,1,2,Control,0.0,0
66539,1,1,1,1,1,1,Test,0.0,0
66543,2,0,0,0,0,1,Control,0.0,0
66930,1,2,3,2,0,1,Test,0.0,16
67390,2,2,1,1,1,1,Test,0.0,7
67452,1,1,1,1,1,1,Test,0.0,5
67845,1,1,0,0,0,2,Test,0.0,0
67845,1,1,0,0,0,2,Test,0.0,0
67925,3,1,1,2,2,1,Test,0.0,0
68116,1,0,0,0,0,1,Control,0.0,0
68170,2,0,0,0,0,1,Control,0.0,0
68276,1,1,1,1,1,1,Test,0.0,0
68830,1,1,1,1,1,2,Control,0.0,0
68830,1,1,0,0,0,2,Control,0.0,0
68854,1,1,1,1,1,2,Control,0.0,0
68854,2,0,0,0,0,2,Control,0.0,0
68884,1,1,1,1,0,2,Test,0.0,8
68884,5,1,1,1,0,2,Test,0.0,8
68886,1,1,1,1,1,2,Test,0.0,0
68886,0,0,0,0,1,2,Test,0.0,0
68963,1,0,0,0,0,2,Control,0.0,36
68963,4,3,2,2,1,2,Control,0.0,36
69255,0,0,0,1,1,2,Control,0.0,0
69255,1,0,0,0,0,2,Control,0.0,0
69568,1,1,1,1,0,1,Test,0.0,0
69591,1,0,0,0,0,1,Test,0.0,0
69598,1,1,1,1,1,1,Control,0.0,0
70225,1,1,1,3,1,1,Control,0.0,0
70576,3,2,1,1,0,3,Test,0.0,11
70576,1,1,1,1,1,3,Test,0.0,11
70576,2,1,1,0,0,3,Test,0.0,11
70863,1,0,0,0,0,1,Test,0.0,0
71159,2,0,0,0,0,1,Test,0.0,0
71296,4,1,1,1,1,2,Control,0.0,0
71296,1,4,0,0,0,2,Control,0.0,0
71476,1,0,0,0,0,1,Control,0.0,0
71626,2,3,1,1,0,1,Control,0.0,7
72074,1,1,1,1,1,2,Test,1.0,21
72074,3,2,2,0,0,2,Test,1.0,21
72221,1,1,0,0,0,2,Control,0.0,22
72221,2,2,3,3,1,2,Control,0.0,22
72388,1,1,1,1,0,1,Test,0.0,0
72395,2,2,1,1,1,1,Test,0.0,7
72915,1,1,1,1,1,2,Test,0.0,0
72915,0,0,0,0,1,2,Test,0.0,0
72916,1,1,1,1,1,1,Test,0.0,0
72988,1,0,0,0,0,2,Test,0.0,0
72988,1,0,0,0,0,2,Test,0.0,0
73331,1,1,1,1,1,1,Control,0.0,0
73335,1,1,1,1,1,1,Control,0.0,0
73453,1,1,1,1,1,2,Control,0.0,0
73453,1,0,0,0,0,2,Control,0.0,0
73615,1,1,1,1,1,1,Test,0.0,0
73648,1,1,1,1,1,1,Test,0.0,0
73910,1,1,1,1,1,1,Control,0.0,0
74169,1,1,1,1,1,3,Control,0.0,0
74169,1,0,0,0,0,3,Control,0.0,0
74169,1,1,0,0,0,3,Control,0.0,0
74564,2,1,1,1,0,1,Test,0.0,5
74844,3,1,1,1,0,1,Test,0.0,6
74976,3,2,1,1,1,1,Test,0.0,8
75033,1,1,1,1,1,1,Test,0.0,0
75381,1,1,0,0,0,1,Control,0.0,0
75490,1,1,1,1,1,1,Test,0.0,0
75642,1,1,1,1,1,1,Control,0.0,0
76424,1,1,1,1,1,1,Control,0.0,0
76429,0,0,0,0,2,2,Test,0.0,7
76429,2,2,1,1,1,2,Test,0.0,7
76481,4,1,0,0,0,3,Test,0.0,35
76481,3,2,0,0,0,3,Test,0.0,35
76481,3,3,2,1,1,3,Test,0.0,35
76635,1,3,3,0,0,1,Test,0.0,14
76775,1,1,0,0,0,1,Test,0.0,0
76776,1,1,1,1,0,2,Control,0.0,7
76776,2,2,1,1,1,2,Control,0.0,7
77071,2,1,2,2,1,1,Control,0.0,8
77276,1,1,1,1,1,1,Test,0.0,0
77513,2,2,1,2,1,1,Test,0.0,8
77651,0,0,0,0,1,1,Test,0.0,0
77933,1,1,1,1,1,1,Test,0.0,0
78720,1,0,0,0,0,1,Test,0.0,0
78728,2,1,1,1,0,1,Control,0.0,5
78779,3,0,0,0,0,4,Test,0.0,0
78779,3,0,0,0,0,4,Test,0.0,0
78779,1,0,0,0,0,4,Test,0.0,0
